,sum,mean,std
Beast Reacts,47118392.0,942367.84,558608.1423808081
Billie Eilish,33415536.0,668310.72,1077239.7143366956
Marques Brownlee,14294899.0,285897.98,111924.7124154684
Movieclips,15378895.0,295747.98076923075,342718.9971108778
MrBeast,329988488.0,6599769.76,6157186.785581866
MrBeast 2,160667973.0,3213359.46,1595653.5432658382
MrBeast Gaming,69280481.0,1385609.62,665867.681646053
PewDiePie,91502313.0,1830046.26,2354530.793831339
Taylor Swift,25617269.0,512345.38,1102705.0868817342
xQc,1480141.0,25967.385964912282,13655.380621564505
