,sum,mean,std
Beast Reacts,2322908505.0,46458170.1,10895458.343032032
Billie Eilish,1167612675.0,23352253.5,71073076.30488457
Marques Brownlee,520793331.0,10415866.62,5212197.898350829
Movieclips,3018839283.0,58054601.59615385,89697633.1468646
MrBeast,11130494247.0,222609884.94,116906330.1870771
MrBeast 2,3355249797.0,67104995.94,45026488.1089464
MrBeast Gaming,3328270833.0,66565416.66,16938256.389244612
PewDiePie,1916861809.0,38337236.18,51031584.34852941
Taylor Swift,748627422.0,14972548.44,25909519.96533063
xQc,53661546.0,941430.6315789474,258063.59265150345
