video_id,video_title,published_at,channel_id,channel_title,video_duration,video_view_count,video_likes,video_dislikes,video_comments,video_category_id,video_live_streaming
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT12M34S,185801585,3548844,0,101499,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
erQ_9yEz0ls,"I Bought The World's Largest Firework ($600,000)",2020-07-03T21:00:20Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M9S,185108396,4890936,0,182015,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
3TflpIllQHY,I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22T21:08:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M45S,183370403,4593473,0,137646,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT9M25S,182386896,3618636,0,119732,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
YSoJPA8-oHc,If You Click This Video I'll Give My Friend .001$,2020-05-23T21:01:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT17M21S,179975430,6625069,0,165219,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
Dc2ZRmuH5OM,"Steal This $100,000 Diamond, You Keep It",2020-11-28T21:00:04Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M3S,179181539,3341770,0,96112,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT16M54S,171124976,3344765,0,120701,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
lglIQkCHO0g,Do Men Lie About Their Height?,2023-02-14T21:00:14Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT47S,170685772,9538513,0,20498,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,2020-04-11T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M59S,170589349,2914361,0,80998,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
s1ax8Tx_Jz0,Would YOU Rather Have A Lamborghini or This House?,2020-08-22T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT18M22S,170314512,3493501,0,152860,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
hD1YtmKXNb4,"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT13M59S,169882826,4759707,0,137888,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT10M25S,169466598,5119091,0,132318,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
A-vX1AGBGsc,I Went Back To 1st Grade For A Day,2019-01-31T22:05:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT17M46S,167217691,2972366,0,140084,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
Y4-gFIfGXiQ,Would you go on a Blind Date in Italy?,2023-04-15T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT51S,166557599,9903651,0,15197,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
0CTp1a-aCUM,"100 Kids Vs 100 Adults For $500,000",2022-12-03T21:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M23S,165717297,3753234,0,95707,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
_qAJMXfL6o0,"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT18M21S,164304986,3297126,0,119280,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
hxwpkM5w3Cc,I Got Hunted By The FBI,2021-08-07T23:00:03Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M51S,162984824,3978507,0,96156,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
QbJJwaVdgIs,I Got Hunted By The Military,2021-12-10T21:30:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M2S,161492286,4086633,0,97675,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15T21:00:11Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M18S,161329444,5980982,0,183168,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
lBYC4_Lccjw,Surviving 24 Hours On A Deserted Island,2019-08-22T20:00:07Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT13M52S,158362252,3106903,0,78612,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
2eFSU7TFOnk,Spending 24 Hours On Top Of A Mountain,2019-06-13T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M24S,158412068,3206096,0,113655,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M21S,158400296,3760969,0,126898,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
bs0SWXbty18,"Spending $1,000,000 In 24 Hours",2019-12-21T21:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M10S,158137095,4161146,0,127085,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT16M8S,157197734,3020135,0,86392,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
