playlist_id,playlist_title,published_at,video_count,playlist_duration
PLoSWVnSA9vG_gqzoqHqUT69bhO4vguFBX,"$1 vs $1,000,000",2023-04-02T01:23:01Z,3,2568.0
PLoSWVnSA9vG9qV0CVCpg5WwEy3LiP7udY,New Uploads,2022-10-22T19:44:08Z,219,225598.0
PLoSWVnSA9vG-W0gNPIV9R1oGw8PKtBJkk,Creator Games 3,2021-12-17T17:21:00Z,2,1454.0
PLoSWVnSA9vG-2iaXl_3fHfZS9Mo0rmSim,Creator Games,2021-12-16T23:39:37Z,0,0.0
PLoSWVnSA9vG_aFvu4YUAUzPYhBKBsazUV,Creator Games,2021-12-15T18:16:18Z,0,0.0
PLoSWVnSA9vG-9NTwPXTRLOU4Ltec7fGkg,Mr Beast Gives Away An Island,2020-10-29T07:40:11Z,3,2645.0
PLoSWVnSA9vG9XLhjiMt6ZReflljY7-B2c,Livestream,2020-08-02T14:32:37Z,0,0.0
PLoSWVnSA9vG9QbL9nV1pisgWCemD0UFnZ,Worlds Largest,2020-08-02T04:04:26Z,4,2817.0
PLoSWVnSA9vG9znrCdXo74jUKDqucZhA9-,Mr Beast - Best Videos of 2019,2020-01-03T20:32:03Z,26,22840.0
PLoSWVnSA9vG_4nlMUZHUyrjLyZ0Qcp5VL,"$1,000,000 Series - Mr Beast",2019-12-19T17:10:06Z,5,4376.0
PLoSWVnSA9vG-AuFOoSY4R3zNPCbQDr5wY,I BET YOU'LL CRY WATCHING THESE,2019-11-23T20:50:24Z,6,5459.0
PLoSWVnSA9vG-6geT_u92P9ttBfRLVFhLH,Last To Leave,2019-11-14T01:05:08Z,15,15268.0
PLnYX1qinc5AQsJIVQLrCEcOencm8zM-ie,"$10,000 Minecraft Challenges",2020-05-16T18:30:03Z,4,2720.0
PL8vyDhstykLlsx_5U4sfyGgguZyzFsyZr,Amazing People,2022-08-25T20:30:37Z,2,987.0
PL8vyDhstykLkpprYCfsfeDRFCCSS1XpMl,World Records,2022-08-25T20:27:12Z,9,4581.0
PL8vyDhstykLmS_V647prKZb3qE25XpGrt,Luckiest People,2022-08-25T20:23:13Z,1,483.0
PL8vyDhstykLk-NhHSTMLXZiL5Fl15OH3R,Extreme Stunts,2022-08-25T20:20:56Z,9,4134.0
PL8vyDhstykLlym7XN7TxFKuWEXXQdoC9f,Experiments,2022-08-25T20:18:30Z,12,5894.0
PL8vyDhstykLnJv48J94KHk2UPoR_Z5DrW,Most Expensive,2022-08-25T20:16:21Z,6,3182.0
PL8vyDhstykLkaOb6_Cn0eDx9aNXb1FgHu,IRL Reactions,2022-08-25T20:14:32Z,0,0.0
PL8vyDhstykLnAUHwJXcJ22IFPzPlgpJeR,VS.,2022-08-25T20:13:52Z,0,0.0
PL8vyDhstykLmTKVrFhb5Wppj0gkw9Pn1K,How It's Made,2022-08-25T20:06:51Z,3,1465.0
PL8vyDhstykLlXkFXqzbAEgaueXkyz7cto,Try Not To Laugh,2022-08-25T20:02:26Z,5,2304.0
PL8vyDhstykLnVewO6Z6GMbcpeAFlRs21n,Rock Paper Scissors,2016-07-30T14:45:39Z,0,0.0
PLYH8WvNV1YEnOwmzyWz4vR0HsX1Qn0PoU,Japan 2022,2022-06-01T07:33:15Z,19,22451.0
PLYH8WvNV1YElTIK2MfeGfBXobzCJCPHk4,Unlock Your Third Eye,2021-10-05T08:09:57Z,10,9696.0
PLYH8WvNV1YEmjTfV6NqdO359XiIoTEVPK,TIKTOK,2021-08-06T16:41:21Z,12,11834.0
PLYH8WvNV1YEnP-0I1GhepTDq3VymHvlNT,Resident Evil Village 8,2021-05-08T12:19:04Z,6,49536.0
PLYH8WvNV1YElPneq3cmmexAdmQf2pnICT,Minecraft Hardcore Series,2021-01-28T19:04:19Z,24,30014.0
PLYH8WvNV1YElEvXrU1B5-nMEkQJFd8inI,Cyberpunk Playthrough,2020-12-12T21:23:28Z,3,30698.0
PLYH8WvNV1YEkj8w4Gj-mqiZY_DLfCGgRC,Among Us,2020-09-21T11:36:14Z,20,118289.0
PLYH8WvNV1YEkGTy11e15DYbNz7rmuzoUX,God of War Playthrough,2020-08-08T17:51:39Z,5,49934.0
PLYH8WvNV1YEmh0MZaMzIleoURllmO9OJ5,Ghost of Tsushima Full Playthrough,2020-08-03T11:31:52Z,9,94745.0
PLYH8WvNV1YElNOqhkm4j6YX8RXt4d9IP2,TLC,2020-07-08T10:02:07Z,26,33540.0
PLYH8WvNV1YEnnvvKi7wg3PwLbkCrTUXb8,Jubilee Videos,2020-07-08T10:01:44Z,22,25430.0
PLYH8WvNV1YEm2hHjqkkXb8U4xTYQjRRAy,The Last Of Us 2,2020-06-19T19:03:20Z,6,63170.0
PLYH8WvNV1YElE78ql2vvcOURM1tve_njn,Members Only Videos / Livestreams,2020-06-04T13:21:37Z,182,1830875.0
PLYH8WvNV1YEkRR6peiTWZfIRUglGJBQV5,Half Life (3) Alyx,2020-03-24T20:22:54Z,6,27889.0
PLYH8WvNV1YElSlBP0ohchkYTByQ-xD92v,Subnautica,2020-03-21T09:54:06Z,7,9663.0
PLYH8WvNV1YEnb1QbNk1_liUa_UXH_SIVl,Terraria,2019-11-28T16:36:10Z,13,91370.0
PLYH8WvNV1YEldU75ZIVbAl6OB6brtGKY6,VR,2019-09-24T14:32:43Z,10,26203.0
PLYH8WvNV1YEnaAanyt5FPgwjZY0Lnu8Pb,Blade and Sorcery VR,2019-09-24T14:31:15Z,3,2194.0
PLYH8WvNV1YEnLCzUDWueIZQXDNhqLKywk,Minecraft The Series,2019-08-11T11:35:59Z,45,66029.0
PLYH8WvNV1YEn9PkI2stxJWMs8GRit66Rz,MINECRAFT EPIC,2019-06-27T09:55:20Z,106,286244.0
PLYH8WvNV1YElPqvWxK_uzWhcMXY_DvlPu,CRINGE TUESDAYS,2019-06-20T09:45:39Z,5,4636.0
PLYH8WvNV1YEniTaIMd95jFlqBpxR0SWJE,CRINGE TUESDAYS,2019-04-25T17:29:42Z,0,0.0
PLYH8WvNV1YEkKYqkHgS7yoEOaBmAoJq7j,The Walking Dead FINAL SEASON FULL GAMEPLAY,2019-02-20T10:09:10Z,3,23232.0
PLYH8WvNV1YEkG_mUpbUQVJKN37AJhm8YX,DayZ: Season 1,2019-02-09T21:39:30Z,1,0.0
PLYH8WvNV1YEkWfLTRBYakMIgKL_mDPBmW,Penumbra Overture: Season 1,2019-02-02T06:16:49Z,1,898.0
PLBsP89CPrMeNIuvr9j3_EQaMwaNJ6rhuQ,Retro Tech S2,2021-04-12T01:12:03Z,5,6080.0
PLBsP89CPrMeO7uztAu6YxSB10cRMpjgiY,Retro Tech,2019-11-26T19:49:05Z,11,10942.0
PLBsP89CPrMeMV1oP42Zn2DrWpnFoSaufA,Retro Tech,2019-11-15T19:21:28Z,6,8743.0
PLBsP89CPrMeP1Xi1zQX87mq3mhkvFHWZ4,Retro Tech,2019-04-18T21:46:04Z,1,1429.0
PLBsP89CPrMePNK7yIxcyRdiIFentQVHra,MKBHD Interviews!,2019-01-29T22:23:15Z,13,11915.0
PLBsP89CPrMeOpNZ7jI7_QWJxLwbDnsiIa,Prime Picks!,2018-08-03T23:29:34Z,2,1243.0
PLBsP89CPrMeOpKhXiKyXg8AjiConuTXvI,Auto Focus,2018-01-31T14:37:32Z,12,9608.0
