video_id,video_title,published_at,channel_id,channel_title,video_duration,video_view_count,video_likes,video_dislikes,video_comments,video_category_id,video_live_streaming
se50viFJ0AQ,Would You Fly To Paris For A Baguette?,2022-12-08T20:12:27Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT48S,779866855,35817862,0,74004,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
YlvcFJOE-OE,Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT40S,675014401,24704537,0,95524,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",2021-11-24T21:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT25M42S,441157486,16342456,0,617266,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
S_CUEOBZ0P4,"The Rock Vs MrBeast For $100,000",2022-10-21T20:00:06Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT55S,333318619,21642296,0,57851,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",2021-08-31T20:01:03Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT18M20S,305588195,6067664,0,119589,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,2020-05-30T20:10:08Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M52S,272528245,4506168,0,116667,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,2021-03-27T20:00:04Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT12M40S,267723723,7576236,0,250785,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
GLoeAJUcz38,"Press This Button To Win $100,000!",2020-11-14T21:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M11S,253856218,4033134,0,91598,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M41S,241013289,6008180,0,114120,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
FD-0KG-h2-c,Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19T20:59:59Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT40S,239631530,13465015,0,28845,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
yXWw0_UfSFg,Anything You Can Fit In The Circle I’ll Pay For,2020-03-07T21:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT20M,233477985,4729906,0,115026,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",2021-04-10T21:00:07Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M9S,232789228,4844731,0,142155,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
QxGVgXf_LNk,"Going Through The Same Drive Thru 1,000 Times",2019-10-05T20:00:08Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT15M38S,226181156,4489060,0,132223,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
F4Y3Pkn95GI,"I Ate A $70,000 Golden Pizza",2020-02-29T21:00:22Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT12M56S,212864191,3958709,0,112703,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",2020-08-15T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT22M15S,211864992,4958039,0,229685,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
gHzuabZUd6c,"Survive 100 Days In Circle, Win $500,000",2022-09-24T19:59:59Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT17M10S,209915085,4735296,0,96840,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
3jS_yEK8qVI,World’s Most Dangerous Escape Room!,2022-01-29T21:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT8M1S,207769892,5029641,0,139951,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT17M1S,203264061,5760493,0,167304,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
Y0cBiGUuB1Y,I Sent a Subscriber to Disneyland,2023-03-30T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT27S,202129038,13029831,0,38330,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
C680oxL__ck,"I Ate $100,000 Golden Ice Cream",2021-01-22T21:00:03Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT13M17S,199926777,5184741,0,175115,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT8M3S,197841223,3868083,0,135200,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,2020-07-23T20:00:11Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT16M4S,196805422,4551941,0,211591,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
ayXxwJJId_c,"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M49S,190993128,4575458,0,175368,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
D9lVNzyhYnc,Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09T21:00:55Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M41S,189506211,3708986,0,98634,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
1WEAJ-DFkHE,"$1 vs $500,000 Plane Ticket!",2023-04-01T20:00:04Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT12M20S,187459223,5616845,0,158681,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT12M34S,185969579,3550400,0,101507,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
erQ_9yEz0ls,"I Bought The World's Largest Firework ($600,000)",2020-07-03T21:00:20Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M9S,185215906,4891876,0,182020,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
3TflpIllQHY,I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22T21:08:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M45S,183379218,4593588,0,137646,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT9M25S,182468409,3619541,0,119732,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
YSoJPA8-oHc,If You Click This Video I'll Give My Friend .001$,2020-05-23T21:01:02Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT17M21S,180052178,6626677,0,165227,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
Dc2ZRmuH5OM,"Steal This $100,000 Diamond, You Keep It",2020-11-28T21:00:04Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT14M3S,179295521,3342758,0,96056,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT16M54S,171225664,3345899,0,120614,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
lglIQkCHO0g,Do Men Lie About Their Height?,2023-02-14T21:00:14Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT47S,171006048,9554000,0,20515,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,2020-04-11T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT11M59S,170754783,2915754,0,80998,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
s1ax8Tx_Jz0,Would YOU Rather Have A Lamborghini or This House?,2020-08-22T20:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT18M22S,170351713,3493754,0,152861,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
hD1YtmKXNb4,"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT13M59S,169993874,4761092,0,137902,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT10M25S,169711363,5121456,0,132338,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
A-vX1AGBGsc,I Went Back To 1st Grade For A Day,2019-01-31T22:05:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,PT17M46S,167294060,2973416,0,140084,24,"{'actual_start_time': None, 'actual_end_time': None, 'scheduled_start_time': None, 'scheduled_end_time': None, 'concurrent_viewers': None}"
